,severity
991,Minor
992,Significant
993,Minor
994,Minor
995,Significant
996,Minor
997,Minor
998,Minor
999,Minor
1000,Significant
1001,Significant
1002,Minor
1003,Minor
1004,Minor
1005,Significant
1006,Significant
1007,Minor
1008,Minor
1009,Minor
1010,Minor
1011,Significant
1012,Minor
1013,Minor
1014,Severe
1015,Significant
1016,Minor
1017,Minor
1018,Minor
1019,Significant
1020,Minor
1021,Minor
1022,Minor
1023,Minor
1024,Minor
1025,Minor
1026,Significant
1027,Minor
1028,Significant
1029,Significant
1030,Severe
1031,Significant
1032,Minor
1033,Minor
1034,Minor
1035,Significant
1036,Minor
1037,Minor
1038,Minor
1039,Minor
1040,Significant
1041,Significant
1042,Significant
1043,Significant
1044,Minor
1045,Minor
1046,Minor
1047,Minor
1048,Significant
1049,Minor
1050,Minor
1051,Significant
1052,Minor
1053,Minor
1054,Significant
1055,Significant
1056,Minor
1057,Minor
1058,Minor
1059,Minor
1060,Minor
1061,Minor
1062,Significant
1063,Minor
1064,Minor
1065,Minor
1066,Significant
1067,Significant
1068,Significant
1069,Significant
1070,Significant
1071,Minor
1072,Minor
1073,Minor
1074,Significant
1075,Minor
1076,Minor
1077,Minor
1078,Minor
1079,Significant
1080,Minor
1081,Significant
1082,Significant
1083,Minor
1084,Significant
1085,Significant
1086,Minor
1087,Minor
1088,Significant
1089,Minor
1090,Significant
1091,Minor
1092,Minor
1093,Minor
1094,Significant
1095,Minor
1096,Minor
1097,Minor
1098,Significant
1099,Minor
1100,Minor
1101,Minor
1102,Minor
1103,Minor
1104,Significant
1105,Minor
1106,Significant
1107,Minor
1108,Significant
1109,Minor
1110,Minor
1111,Significant
1112,Minor
1113,Minor
1114,Significant
1115,Significant
1116,Significant
1117,Minor
1118,Minor
1119,Minor
1120,Significant
1121,Minor
1122,Significant
1123,Minor
1124,Significant
1125,Significant
1126,Minor
1127,Significant
1128,Minor
1129,Minor
1130,Minor
1131,Minor
1132,Minor
1133,Significant
1134,Minor
1135,Significant
1136,Severe
1137,Minor
1138,Minor
1139,Significant
1140,Minor
1141,Minor
1142,Minor
1143,Minor
1144,Significant
1145,Minor
1146,Minor
1147,Significant
1148,Minor
1149,Minor
1150,Minor
1151,Minor
1152,Minor
1153,Minor
1154,Minor
1155,Minor
1156,Minor
1157,Minor
1158,Significant
1159,Minor
1160,Significant
1161,Minor
1162,Minor
1163,Significant
1164,Minor
1165,Minor
1166,Significant
1167,Minor
1168,Significant
1169,Minor
1170,Minor
1171,Minor
1172,Severe
1173,Minor
1174,Significant
1175,Minor
1176,Minor
1177,Significant
1178,Significant
1179,Minor
1180,Minor
1181,Minor
1182,Minor
1183,Significant
1184,Minor
1185,Minor
1186,Minor
1187,Minor
1188,Minor
1189,Minor
1190,Minor
1191,Significant
1192,Significant
1193,Minor
1194,Significant
1195,Significant
1196,Minor
1197,Severe
1198,Minor
1199,Minor
1200,Minor
1201,Minor
1202,Minor
1203,Significant
1204,Minor
1205,Minor
1206,Minor
1207,Significant
1208,Significant
1209,Significant
1210,Minor
1211,Significant
1212,Minor
1213,Significant
1214,Minor
1215,Minor
1216,Minor
1217,Significant
1218,Minor
1219,Minor
1220,Minor
1221,Minor
1222,Significant
1223,Minor
1224,Minor
1225,Minor
1226,Minor
1227,Minor
1228,Minor
1229,Significant
1230,Minor
1231,Minor
1232,Significant
1233,Minor
1234,Significant
1235,Significant
1236,Minor
1237,Significant
1238,Minor
1239,Minor
1240,Minor
1241,Significant
1242,Minor
1243,Minor
1244,Minor
1245,Minor
1246,Minor
1247,Minor
1248,Significant
1249,Minor
1250,Minor
1251,Significant
1252,Minor
1253,Significant
1254,Minor
1255,Significant
1256,Minor
1257,Minor
1258,Minor
1259,Significant
1260,Minor
1261,Minor
1262,Significant
1263,Minor
1264,Minor
1265,Minor
1266,Significant
1267,Significant
1268,Significant
1269,Minor
1270,Minor
1271,Minor
1272,Minor
1273,Significant
1274,Minor
1275,Minor
1276,Minor
1277,Minor
1278,Severe
1279,Minor
1280,Significant
1281,Minor
1282,Minor
1283,Minor
1284,Minor
1285,Minor
1286,Minor
1287,Minor
1288,Significant
1289,Minor
1290,Minor
1291,Minor
1292,Minor
1293,Minor
1294,Significant
1295,Significant
1296,Minor
1297,Significant
1298,Minor
1299,Minor
1300,Significant
1301,Minor
1302,Significant
1303,Minor
1304,Significant
1305,Minor
1306,Significant
1307,Significant
1308,Significant
1309,Significant
1310,Significant
1311,Significant
1312,Minor
1313,Minor
1314,Significant
1315,Minor
1316,Severe
1317,Minor
1318,Minor
1319,Minor
1320,Significant
1321,Minor
1322,Significant
1323,Minor
1324,Minor
1325,Significant
1326,Minor
1327,Severe
1328,Minor
1329,Minor
1330,Minor
1331,Minor
1332,Minor
1333,Minor
1334,Minor
1335,Severe
1336,Minor
1337,Minor
1338,Significant
1339,Significant
1340,Significant
1341,Significant
1342,Minor
1343,Significant
1344,Minor
1345,Minor
1346,Minor
1347,Significant
1348,Minor
1349,Minor
1350,Minor
1351,Minor
1352,Significant
1353,Minor
1354,Significant
1355,Minor
1356,Minor
1357,Minor
1358,Minor
1359,Minor
1360,Minor
1361,Minor
1362,Minor
1363,Minor
1364,Minor
1365,Minor
1366,Significant
1367,Significant
1368,Minor
1369,Minor
1370,Minor
1371,Significant
1372,Minor
1373,Minor
1374,Minor
1375,Minor
1376,Minor
1377,Minor
1378,Significant
1379,Significant
1380,Significant
1381,Minor
1382,Minor
1383,Significant
1384,Minor
1385,Significant
1386,Minor
1387,Significant
1388,Minor
1389,Significant
1390,Significant
1391,Minor
1392,Severe
1393,Minor
1394,Significant
1395,Significant
1396,Significant
1397,Minor
1398,Significant
1399,Minor
1400,Minor
1401,Minor
1402,Minor
1403,Minor
1404,Minor
1405,Significant
1406,Minor
1407,Minor
1408,Significant
1409,Minor
1410,Significant
1411,Significant
1412,Significant
1413,Significant
1414,Significant
1415,Minor
1416,Minor
1417,Significant
1418,Minor
1419,Minor
1420,Minor
1421,Significant
1422,Minor
1423,Significant
1424,Minor
1425,Minor
1426,Significant
1427,Minor
1428,Significant
1429,Minor
1430,Significant
1431,Minor
1432,Significant
1433,Significant
1434,Minor
1435,Minor
1436,Minor
1437,Significant
1438,Minor
1439,Minor
1440,Significant
1441,Significant
1442,Significant
1443,Minor
1444,Minor
1445,Minor
1446,Minor
1447,Minor
1448,Minor
1449,Minor
1450,Significant
1451,Significant
1452,Minor
1453,Minor
1454,Minor
1455,Minor
1456,Minor
1457,Significant
1458,Minor
1459,Significant
1460,Minor
1461,Minor
1462,Severe
1463,Minor
1464,Minor
1465,Minor
1466,Minor
1467,Significant
1468,Significant
1469,Minor
1470,Significant
1471,Significant
1472,Minor
1473,Minor
1474,Minor
1475,Minor
1476,Minor
1477,Significant
1478,Significant
1479,Minor
1480,Minor
1481,Significant
1482,Minor
1483,Minor
1484,Minor
1485,Minor
1486,Significant
1487,Minor
1488,Significant
1489,Significant
1490,Significant
1491,Minor
1492,Minor
1493,Minor
1494,Significant
1495,Minor
1496,Minor
1497,Minor
1498,Minor
1499,Minor
1500,Minor
1501,Significant
1502,Significant
1503,Significant
1504,Significant
1505,Significant
1506,Significant
1507,Minor
1508,Minor
1509,Minor
1510,Minor
1511,Minor
1512,Minor
1513,Significant
1514,Minor
1515,Minor
1516,Severe
1517,Minor
1518,Minor
1519,Minor
1520,Minor
1521,Minor
1522,Significant
1523,Significant
1524,Minor
1525,Minor
1526,Significant
1527,Significant
1528,Minor
1529,Significant
1530,Minor
1531,Minor
1532,Significant
1533,Minor
1534,Minor
1535,Significant
1536,Minor
1537,Significant
1538,Minor
1539,Significant
1540,Minor
1541,Minor
1542,Minor
1543,Minor
1544,Significant
1545,Minor
1546,Significant
1547,Significant
1548,Minor
1549,Significant
1550,Minor
1551,Minor
1552,Minor
1553,Significant
1554,Minor
1555,Minor
1556,Minor
1557,Significant
1558,Minor
1559,Significant
1560,Minor
1561,Minor
1562,Significant
1563,Minor
1564,Significant
1565,Minor
1566,Significant
1567,Significant
1568,Significant
1569,Significant
1570,Minor
1571,Minor
1572,Minor
1573,Minor
1574,Severe
1575,Significant
1576,Significant
1577,Minor
1578,Severe
1579,Minor
1580,Significant
1581,Minor
1582,Minor
1583,Minor
1584,Significant
1585,Minor
1586,Significant
1587,Significant
1588,Minor
1589,Minor
1590,Minor
1591,Minor
1592,Significant
1593,Significant
1594,Minor
1595,Severe
1596,Minor
1597,Minor
1598,Minor
1599,Minor
1600,Significant
1601,Minor
1602,Significant
1603,Minor
1604,Minor
1605,Significant
1606,Minor
1607,Minor
1608,Minor
1609,Significant
1610,Minor
1611,Significant
1612,Minor
1613,Minor
1614,Minor
1615,Minor
1616,Minor
1617,Significant
1618,Minor
1619,Minor
1620,Minor
1621,Minor
1622,Minor
1623,Minor
1624,Minor
1625,Significant
1626,Minor
1627,Minor
1628,Minor
1629,Minor
1630,Significant
1631,Significant
1632,Minor
1633,Significant
1634,Minor
1635,Minor
1636,Minor
1637,Significant
1638,Significant
1639,Minor
1640,Significant
1641,Minor
1642,Significant
1643,Minor
1644,Significant
1645,Minor
1646,Significant
1647,Significant
1648,Significant
1649,Minor
1650,Severe
1651,Minor
1652,Minor
1653,Minor
1654,Significant
1655,Minor
1656,Minor
1657,Significant
1658,Significant
1659,Minor
1660,Minor
1661,Minor
1662,Significant
1663,Significant
1664,Minor
1665,Minor
1666,Minor
1667,Minor
1668,Minor
1669,Minor
1670,Minor
1671,Minor
1672,Minor
1673,Minor
1674,Significant
1675,Minor
1676,Severe
1677,Minor
1678,Significant
1679,Minor
1680,Minor
1681,Minor
1682,Significant
1683,Significant
1684,Minor
1685,Minor
1686,Minor
1687,Minor
1688,Minor
1689,Significant
1690,Minor
1691,Minor
1692,Minor
1693,Minor
1694,Minor
1695,Minor
1696,Minor
1697,Significant
1698,Minor
1699,Minor
1700,Significant
1701,Minor
1702,Significant
1703,Minor
1704,Significant
1705,Significant
1706,Significant
1707,Minor
1708,Minor
1709,Minor
1710,Significant
1711,Significant
1712,Minor
1713,Significant
1714,Minor
1715,Minor
1716,Minor
1717,Minor
1718,Minor
1719,Significant
1720,Minor
1721,Minor
1722,Significant
1723,Minor
1724,Minor
1725,Minor
1726,Minor
1727,Significant
1728,Minor
1729,Minor
1730,Minor
1731,Significant
1732,Minor
1733,Minor
1734,Minor
1735,Significant
1736,Significant
1737,Minor
1738,Minor
1739,Significant
1740,Minor
1741,Significant
1742,Minor
1743,Minor
1744,Significant
1745,Minor
1746,Significant
1747,Significant
1748,Minor
1749,Significant
1750,Minor
1751,Minor
1752,Minor
1753,Significant
1754,Minor
1755,Significant
1756,Minor
1757,Minor
1758,Minor
1759,Minor
1760,Minor
1761,Significant
1762,Minor
1763,Minor
1764,Significant
1765,Minor
1766,Minor
1767,Significant
1768,Minor
1769,Significant
1770,Minor
1771,Significant
1772,Significant
1773,Minor
1774,Minor
1775,Minor
1776,Minor
1777,Minor
1778,Minor
1779,Severe
1780,Significant
1781,Minor
1782,Minor
1783,Significant
1784,Significant
1785,Minor
1786,Significant
1787,Significant
1788,Minor
1789,Minor
1790,Minor
1791,Significant
1792,Minor
1793,Significant
1794,Minor
