	type	location	distracted	time
7882	Sideswipe	Mid-Block	no	20.42
7883	Pedestrian	Driveway Junction	no	20.6
7884	Rear Ended	Mid-Block	no	20.68
7885	Parked Car	Mid-Block	no	21.3
7886	Rear Ended	Mid-Block	yes	21.78
7887	Left Turn	At Intersection	no	23.52
7888	Sideswipe	At Intersection	no	0.17
7889	Pedestrian	At Intersection	no	0.38
7890	Rear Ended	Mid-Block	no	0.43
7891	Parked Car	Mid-Block	no	0.73
7892	Angles	At Intersection	no	0.8
7893	Rear Ended	Mid-Block	no	1.58
7894	Parked Car	Mid-Block	no	1.95
7895	Left Turn	At Intersection	no	2.0
7896	Parked Car	Mid-Block	no	2.58
7897	Parked Car	Mid-Block	no	3.0
7898	Parked Car	Mid-Block	no	5.53
7899	Angles	At Intersection	no	6.83
7900	Rear Ended	Mid-Block	yes	9.0
7901	Parked Car	Mid-Block	no	9.05
7902	Parked Car	Mid-Block	no	11.0
7903	Angles	At Intersection	no	11.22
7904	Sideswipe	Mid-Block	no	11.72
7905	Angles	At Intersection	no	11.77
7906	Angles	At Intersection	no	11.9
7907	Rear Ended	Mid-Block	yes	12.08
7908	Left Turn	At Intersection	no	12.32
7909	Left Turn	At Intersection	no	12.67
7910	Rear Ended	Mid-Block	yes	12.67
7911	Parked Car	Mid-Block	no	12.93
7912	Angles	At Intersection	no	13.07
7913	Rear Ended	At Intersection	no	13.65
7914	Rear Ended	Mid-Block	no	13.68
7915	Head On	At Intersection	no	14.0
7916	Rear Ended	Mid-Block	no	14.38
7917	Rear Ended	Mid-Block	no	14.58
7918	Angles	At Intersection	no	15.13
7919	Parked Car	Mid-Block	yes	16.62
7920	Left Turn	At Intersection	no	17.25
7921	Rear Ended	At Intersection	no	18.83
7922	Parked Car	At Intersection	no	19.98
7923	Sideswipe	Mid-Block	no	20.08
7924	Rear Ended	Mid-Block	yes	20.2
7925	Left Turn	Mid-Block	no	20.32
7926	Angles	At Intersection	no	20.5
7927	Parked Car	Mid-Block	no	21.75
7928	Parked Car	Mid-Block	yes	21.77
7929	Parked Car	Mid-Block	no	1.62
7930	Rear Ended	At Intersection	no	11.07
7931	Left Turn	At Intersection	no	12.1
7932	Left Turn	At Intersection	no	12.17
7933	Head On	Mid-Block	no	12.9
7934	Rear Ended	Mid-Block	no	13.92
7935	Parked Car	Mid-Block	no	14.0
7936	Parked Car	Mid-Block	no	14.5
7937	Angles	At Intersection	no	14.73
7938	Rear Ended	Mid-Block	no	14.9
7939	Left Turn	At Intersection	no	15.1
7940	Angles	Mid-Block	no	15.13
7941	Parked Car	Mid-Block	no	16.0
7942	Angles	At Intersection	no	16.12
7943	Angles	At Intersection	no	16.13
7944	Left Turn	At Intersection	no	16.82
7945	Rear Ended	Mid-Block	yes	17.23
7946	Rear Ended	Mid-Block	no	17.5
7947	Angles	At Intersection	no	17.73
7948	Sideswipe	Mid-Block	no	17.75
7949	Left Turn	At Intersection	no	18.12
7950	Sideswipe	Mid-Block	no	18.25
7951	Angles	At Intersection	yes	18.92
7952	Angles	At Intersection	no	18.98
7953	Angles	At Intersection	no	19.58
7954	Angles	At Intersection	no	20.8
7955	Rear Ended	Mid-Block	no	21.18
7956	Sideswipe	Mid-Block	no	23.1
7957	Parked Car	Mid-Block	no	6.0
7958	Parked Car	Mid-Block	no	6.75
7959	Pedestrian	At Intersection	no	6.88
7960	Rear Ended	Mid-Block	no	7.55
7961	Parked Car	Mid-Block	yes	7.6
7962	Rear Ended	Mid-Block	no	7.98
7963	Rear Ended	Mid-Block	no	8.17
7964	Left Turn	At Intersection	no	9.18
7965	Angles	At Intersection	no	10.83
7966	Angles	At Intersection	no	11.8
7967	Rear Ended	Mid-Block	no	12.83
7968	Sideswipe	Mid-Block	yes	13.08
7969	Sideswipe	At Intersection	yes	13.33
7970	Sideswipe	Mid-Block	no	13.5
7971	Angles	At Intersection	no	14.52
7972	Angles	At Intersection	no	15.0
7973	Cycles	Mid-Block	no	15.35
7974	Angles	At Intersection	no	17.25
7975	Left Turn	At Intersection	no	17.67
7976	Parked Car	Mid-Block	no	17.8
7977	Rear Ended	Mid-Block	no	17.83
7978	Parked Car	Driveway Junction	no	18.43
7979	Parked Car	Mid-Block	no	19.75
7980	Sideswipe	Mid-Block	no	20.05
7981	Angles	At Intersection	no	20.55
7982	Parked Car	Mid-Block	no	21.0
7983	Parked Car	Mid-Block	no	22.0
7984	Left Turn	At Intersection	no	8.25
7985	Pedestrian	At Intersection	no	8.43
7986	Parked Car	Mid-Block	no	9.0
7987	Left Turn	At Intersection	no	10.25
7988	Cycles	Mid-Block	yes	10.38
7989	Rear Ended	Mid-Block	no	12.0
7990	Pedestrian	At Intersection	no	12.7
7991	Parked Car	Mid-Block	no	13.25
7992	Left Turn	At Intersection	no	13.5
7993	Angles	At Intersection	no	13.72
7994	Parked Car	Mid-Block	no	14.17
7995	Parked Car	Mid-Block	no	14.5
7996	Angles	At Intersection	no	14.6
7997	Pedestrian	Mid-Block	no	15.45
7998	Angles	At Intersection	no	15.82
7999	Angles	At Intersection	no	16.05
8000	Left Turn	At Intersection	no	16.33
8001	Left Turn	At Intersection	no	16.53
8002	Pedestrian	At Intersection	no	16.82
8003	Left Turn	At Intersection	no	16.92
8004	Sideswipe	Mid-Block	no	17.0
8005	Rear Ended	Mid-Block	no	17.02
8006	Left Turn	At Intersection	no	17.12
8007	Left Turn	At Intersection	no	17.82
8008	Sideswipe	Mid-Block	no	17.85
8009	Angles	At Intersection	yes	17.92
8010	Pedestrian	At Intersection	no	18.5
8011	Left Turn	At Intersection	no	20.67
8012	Rear Ended	At Intersection	no	21.5
8013	Angles	At Intersection	no	22.2
8014	Parked Car	Mid-Block	no	2.0
8015	Pedestrian	At Intersection	no	7.0
8016	Pedestrian	At Intersection	no	7.68
8017	Parked Car	Mid-Block	no	7.8
8018	Angles	At Intersection	no	8.18
8019	Parked Car	Mid-Block	no	8.92
8020	Angles	At Intersection	no	9.67
8021	Sideswipe	Mid-Block	no	10.32
8022	Angles	At Intersection	no	11.25
8023	Rear Ended	Mid-Block	no	11.42
8024	Parked Car	Mid-Block	no	11.5
8025	Left Turn	At Intersection	no	11.7
8026	Left Turn	At Intersection	no	12.13
8027	Rear Ended	Mid-Block	no	12.33
8028	Angles	At Intersection	no	12.62
8029	Parked Car	Mid-Block	no	13.1
8030	Rear Ended	Mid-Block	no	13.1
8031	Parked Car	Mid-Block	no	13.27
8032	Rear Ended	Mid-Block	no	15.12
8033	Rear Ended	Mid-Block	yes	15.35
8034	Parked Car	Mid-Block	no	15.52
8035	Angles	At Intersection	no	15.55
8036	Left Turn	At Intersection	no	15.65
8037	Sideswipe	Mid-Block	yes	17.05
8038	Left Turn	At Intersection	no	17.57
8039	Sideswipe	Mid-Block	no	18.32
8040	Angles	At Intersection	no	18.42
8041	Angles	At Intersection	no	18.58
8042	Angles	At Intersection	no	19.5
8043	Parked Car	Mid-Block	no	20.4
8044	Sideswipe	Mid-Block	no	20.45
8045	Rear Ended	Mid-Block	yes	20.6
8046	Left Turn	At Intersection	no	21.58
8047	Left Turn	At Intersection	no	21.75
8048	Angles	Mid-Block	no	22.18
8049	Angles	Driveway Junction	no	22.58
8050	Parked Car	Mid-Block	no	0.1
8051	Left Turn	At Intersection	no	0.17
8052	Parked Car	Mid-Block	no	0.42
8053	Parked Car	At Intersection	no	3.08
8054	Angles	At Intersection	no	3.12
8055	Angles	At Intersection	no	8.58
8056	Parked Car	Mid-Block	no	10.12
8057	Rear Ended	At Intersection	yes	11.65
8058	Angles	At Intersection	no	11.73
8059	Head On	Mid-Block	no	11.82
8060	Cycles	At Intersection	no	12.2
8061	Sideswipe	Mid-Block	no	12.52
8062	Rear Ended	Mid-Block	no	12.78
8063	Rear Ended	Mid-Block	no	13.0
8064	Rear Ended	At Intersection	no	14.37
8065	Parked Car	Mid-Block	no	14.5
8066	Rear Ended	Mid-Block	yes	14.58
8067	Angles	At Intersection	no	15.02
8068	Angles	At Intersection	no	15.05
8069	Rear Ended	At Intersection	no	15.55
8070	Rear Ended	Mid-Block	no	15.78
8071	Left Turn	At Intersection	no	16.12
8072	Parked Car	Mid-Block	no	16.5
8073	Parked Car	Mid-Block	no	16.67
8074	Angles	At Intersection	no	16.82
8075	Cycles	Mid-Block	yes	16.88
8076	Rear Ended	Mid-Block	no	17.08
8077	Pedestrian	Mid-Block	no	19.78
8078	Cycles	At Intersection	yes	20.25
8079	Rear Ended	Mid-Block	no	21.28
8080	Parked Car	Mid-Block	no	21.5
8081	Parked Car	Mid-Block	yes	22.22
8082	Rear Ended	Mid-Block	no	22.58
8083	Parked Car	Driveway Junction	no	22.83
8084	Left Turn	At Intersection	no	23.78
8085	Angles	At Intersection	no	0.68
8086	Parked Car	Mid-Block	no	2.08
8087	Parked Car	Mid-Block	no	2.47
8088	Parked Car	Mid-Block	no	3.37
8089	Parked Car	Mid-Block	yes	7.5
8090	Angles	At Intersection	no	9.13
8091	Sideswipe	At Intersection	no	9.5
8092	Pedestrian	Mid-Block	no	10.57
8093	Angles	At Intersection	no	11.53
8094	Parked Car	Mid-Block	yes	11.93
8095	Left Turn	At Intersection	no	12.18
8096	Parked Car	Mid-Block	no	12.48
8097	Parked Car	Mid-Block	no	12.72
8098	Left Turn	At Intersection	no	12.9
8099	Parked Car	Driveway Junction	no	13.83
8100	Angles	At Intersection	no	15.85
8101	Angles	At Intersection	no	15.9
8102	Pedestrian	At Intersection	no	16.08
8103	Parked Car	Mid-Block	no	17.2
8104	Rear Ended	Mid-Block	no	17.27
8105	Left Turn	At Intersection	no	18.33
8106	Left Turn	At Intersection	no	18.75
8107	Sideswipe	Mid-Block	no	19.0
8108	Angles	At Intersection	no	20.77
8109	Sideswipe	At Intersection	no	21.28
8110	Rear Ended	Mid-Block	no	21.38
8111	Rear Ended	At Intersection	no	7.03
8112	Left Turn	At Intersection	no	7.07
8113	Sideswipe	Mid-Block	no	7.33
8114	Pedestrian	At Intersection	no	7.62
8115	Parked Car	Mid-Block	no	7.7
8116	Angles	At Intersection	no	8.8
8117	Pedestrian	Mid-Block	no	8.92
8118	Angles	At Intersection	no	9.0
8119	Left Turn	At Intersection	no	9.93
8120	Parked Car	Mid-Block	no	10.35
8121	Parked Car	Mid-Block	no	10.95
8122	Parked Car	Mid-Block	yes	14.25
8123	Rear Ended	Mid-Block	yes	14.98
8124	Parked Car	Mid-Block	no	15.1
8125	Left Turn	At Intersection	no	15.1
8126	Pedestrian	Mid-Block	no	15.45
8127	Rear Ended	Mid-Block	yes	15.87
8128	Rear Ended	Mid-Block	no	16.42
8129	Rear Ended	Mid-Block	no	16.48
8130	Angles	At Intersection	no	16.7
8131	Rear Ended	Mid-Block	no	17.62
8132	Parked Car	Mid-Block	no	18.35
8133	Parked Car	Mid-Block	no	18.45
8134	Sideswipe	Mid-Block	no	18.75
8135	Sideswipe	Mid-Block	no	19.55
8136	Angles	At Intersection	no	19.63
8137	Parked Car	Driveway Junction	no	21.5
8138	Sideswipe	At Intersection	no	22.82
8139	Angles	At Intersection	no	23.25
8140	Parked Car	Mid-Block	no	23.82
8141	Pedestrian	At Intersection	no	6.25
8142	Head On	Mid-Block	no	6.63
8143	Angles	At Intersection	no	7.95
8144	Rear Ended	Mid-Block	yes	8.33
8145	Rear Ended	Mid-Block	no	8.35
8146	Sideswipe	Mid-Block	no	8.47
8147	Rear Ended	At Intersection	yes	8.97
8148	Angles	At Intersection	no	9.0
8149	Rear Ended	Mid-Block	no	9.07
8150	Parked Car	Mid-Block	no	9.32
8151	Rear Ended	Mid-Block	no	9.42
8152	Rear Ended	Mid-Block	yes	9.42
8153	Parked Car	Mid-Block	no	9.58
8154	Parked Car	Mid-Block	no	10.25
8155	Angles	At Intersection	no	11.42
8156	Angles	At Intersection	no	11.87
8157	Left Turn	At Intersection	no	12.4
8158	Cycles	Driveway Junction	no	13.75
8159	Angles	Mid-Block	no	13.77
8160	Parked Car	Mid-Block	yes	13.98
8161	Rear Ended	Mid-Block	no	14.0
8162	Sideswipe	Mid-Block	no	15.25
8163	Angles	At Intersection	no	15.47
8164	Angles	At Intersection	no	16.15
8165	Angles	At Intersection	no	16.83
8166	Parked Car	Mid-Block	no	16.85
8167	Angles	At Intersection	no	17.3
8168	Angles	At Intersection	no	17.63
8169	Left Turn	At Intersection	no	18.68
8170	Pedestrian	At Intersection	no	18.72
8171	Angles	At Intersection	no	18.83
8172	Parked Car	Mid-Block	no	19.5
8173	Parked Car	Mid-Block	yes	20.33
8174	Angles	At Intersection	no	20.68
8175	Angles	At Intersection	no	20.7
8176	Parked Car	Driveway Junction	no	4.83
8177	Pedestrian	At Intersection	no	6.43
8178	Parked Car	Mid-Block	no	7.0
8179	Left Turn	At Intersection	no	7.37
8180	Angles	At Intersection	no	7.63
8181	Rear Ended	Mid-Block	no	7.98
8182	Parked Car	Mid-Block	no	8.0
8183	Rear Ended	Mid-Block	no	9.47
8184	Parked Car	Mid-Block	no	9.5
8185	Rear Ended	Mid-Block	no	11.48
8186	Parked Car	At Intersection	no	12.25
8187	Rear Ended	Mid-Block	no	12.73
8188	Sideswipe	Mid-Block	no	12.85
8189	Angles	At Intersection	no	14.57
8190	Parked Car	Mid-Block	no	15.18
8191	Angles	Mid-Block	no	15.2
8192	Rear Ended	Mid-Block	no	15.38
8193	Rear Ended	Mid-Block	no	15.62
8194	Parked Car	Mid-Block	no	17.53
8195	Sideswipe	Mid-Block	no	18.1
8196	Parked Car	Mid-Block	no	18.68
8197	Angles	At Intersection	no	20.1
8198	Parked Car	Mid-Block	no	21.25
8199	Parked Car	Mid-Block	no	6.95
8200	Right Turn	At Intersection	no	7.4
8201	Angles	At Intersection	no	7.83
8202	Parked Car	Mid-Block	no	9.77
8203	Angles	At Intersection	no	11.5
8204	Parked Car	Mid-Block	no	12.0
8205	Rear Ended	Mid-Block	no	12.05
8206	Rear Ended	Mid-Block	no	12.67
8207	Parked Car	Mid-Block	no	13.0
8208	Parked Car	Mid-Block	no	13.1
8209	Rear Ended	Mid-Block	yes	13.42
8210	Sideswipe	Mid-Block	no	13.67
8211	Angles	At Intersection	no	14.25
8212	Rear Ended	Mid-Block	no	14.47
8213	Pedestrian	At Intersection	no	15.1
8214	Pedestrian	At Intersection	yes	15.27
8215	Rear Ended	Mid-Block	no	15.33
8216	Parked Car	Mid-Block	no	15.58
8217	Left Turn	At Intersection	no	15.8
8218	Parked Car	Mid-Block	no	16.0
8219	Head On	Mid-Block	no	16.02
8220	Parked Car	Mid-Block	no	16.67
8221	Angles	At Intersection	no	18.33
8222	Pedestrian	At Intersection	no	19.3
8223	Rear Ended	At Intersection	no	20.0
8224	Left Turn	At Intersection	no	23.75
8225	Sideswipe	Mid-Block	no	7.0
8226	Angles	At Intersection	no	7.13
8227	Left Turn	At Intersection	no	7.48
8228	Angles	At Intersection	no	7.8
8229	Angles	At Intersection	no	8.12
8230	Sideswipe	Mid-Block	no	8.25
8231	Rear Ended	Mid-Block	yes	8.27
8232	Rear Ended	Mid-Block	no	8.43
8233	Rear Ended	At Intersection	no	8.58
8234	Rear Ended	Mid-Block	yes	8.8
8235	Parked Car	Mid-Block	yes	9.18
8236	Pedestrian	At Intersection	no	9.63
8237	Parked Car	Mid-Block	no	10.0
8238	Angles	At Intersection	no	10.27
8239	Sideswipe	At Intersection	no	10.35
8240	Sideswipe	At Intersection	no	10.65
8241	Parked Car	Mid-Block	no	11.97
8242	Parked Car	Driveway Junction	no	13.0
8243	Parked Car	Mid-Block	no	13.0
8244	Sideswipe	At Intersection	no	13.18
8245	Sideswipe	At Intersection	no	14.48
8246	Left Turn	At Intersection	no	14.65
8247	Parked Car	Mid-Block	no	14.78
8248	Rear Ended	Mid-Block	no	15.25
8249	Angles	At Intersection	no	15.4
8250	Angles	At Intersection	no	15.6
8251	Angles	Mid-Block	yes	15.78
8252	Parked Car	Mid-Block	no	15.9
8253	Rear Ended	Mid-Block	no	15.98
8254	Left Turn	At Intersection	no	16.0
8255	Parked Car	Mid-Block	no	17.25
8256	Parked Car	Driveway Junction	no	17.6
8257	Sideswipe	Mid-Block	no	17.7
8258	Angles	At Intersection	no	18.6
8259	Parked Car	Mid-Block	yes	19.48
8260	Parked Car	Mid-Block	no	19.92
8261	Sideswipe	At Intersection	no	20.0
8262	Angles	At Intersection	no	21.47
8263	Rear Ended	Mid-Block	no	21.65
8264	Angles	At Intersection	no	22.53
8265	Parked Car	Mid-Block	no	23.55
8266	Rear Ended	Mid-Block	yes	0.02
8267	Left Turn	At Intersection	no	2.27
8268	Angles	At Intersection	no	3.2
8269	Parked Car	Mid-Block	yes	3.23
8270	Rear Ended	Mid-Block	yes	3.23
8271	Parked Car	Mid-Block	no	3.75
8272	Angles	At Intersection	no	8.7
8273	Angles	At Intersection	no	10.95
8274	Angles	At Intersection	no	11.27
8275	Head On	Mid-Block	no	11.55
8276	Left Turn	At Intersection	no	12.5
8277	Parked Car	Mid-Block	no	12.8
8278	Sideswipe	Mid-Block	no	13.25
8279	Parked Car	Mid-Block	no	13.28
8280	Parked Car	Mid-Block	no	14.17
8281	Angles	At Intersection	no	14.68
8282	Cycles	Mid-Block	no	15.02
8283	Rear Ended	Mid-Block	yes	15.58
8284	Angles	At Intersection	no	15.83
8285	Rear Ended	Mid-Block	no	15.93
8286	Rear Ended	Mid-Block	yes	16.65
8287	Angles	At Intersection	no	16.67
8288	Cycles	At Intersection	no	17.2
8289	Rear Ended	Mid-Block	no	17.73
8290	Pedestrian	At Intersection	no	17.78
8291	Sideswipe	Mid-Block	no	17.83
8292	Parked Car	Mid-Block	no	18.5
8293	Angles	At Intersection	no	18.65
8294	Angles	At Intersection	no	19.0
8295	Angles	At Intersection	no	19.4
8296	Left Turn	At Intersection	no	20.12
8297	Sideswipe	Mid-Block	no	20.2
8298	Parked Car	Mid-Block	no	22.3
8299	Parked Car	Mid-Block	no	23.0
8300	Left Turn	At Intersection	no	23.47
8301	Rear Ended	At Intersection	no	23.62
8302	Parked Car	Mid-Block	no	23.97
8303	Rear Ended	At Intersection	no	0.92
8304	Parked Car	Mid-Block	no	1.08
8305	Rear Ended	Mid-Block	no	2.18
8306	Sideswipe	Mid-Block	no	2.27
8307	Parked Car	Mid-Block	no	3.32
8308	Pedestrian	At Intersection	no	9.58
8309	Angles	At Intersection	no	9.62
8310	Rear Ended	Mid-Block	yes	13.93
8311	Parked Car	Mid-Block	no	14.0
8312	Pedestrian	Driveway Junction	no	15.25
8313	Pedestrian	At Intersection	yes	15.5
8314	Sideswipe	Mid-Block	no	16.65
8315	Rear Ended	Mid-Block	no	17.18
8316	Rear Ended	Mid-Block	no	18.47
8317	Sideswipe	Mid-Block	no	19.27
8318	Parked Car	Mid-Block	yes	21.33
8319	Parked Car	Mid-Block	no	22.05
8320	Parked Car	Mid-Block	no	23.9
8321	Angles	At Intersection	no	10.0
8322	Sideswipe	Mid-Block	yes	14.0
8323	Rear Ended	Mid-Block	no	16.75
8324	Parked Car	At Intersection	no	16.9
8325	Parked Car	Mid-Block	no	19.13
8326	Parked Car	Mid-Block	no	21.0
8327	Parked Car	Mid-Block	no	0.22
8328	Angles	At Intersection	no	0.73
8329	Left Turn	At Intersection	no	6.43
8330	Rear Ended	Mid-Block	yes	8.33
8331	Sideswipe	At Intersection	yes	9.83
8332	Parked Car	Mid-Block	no	10.0
8333	Parked Car	Mid-Block	no	11.83
8334	Sideswipe	Mid-Block	no	12.28
8335	Head On	Mid-Block	no	12.83
8336	Angles	At Intersection	no	13.22
8337	Parked Car	Mid-Block	no	13.5
8338	Angles	At Intersection	no	13.58
8339	Rear Ended	Mid-Block	yes	13.62
8340	Angles	Mid-Block	no	13.92
8341	Rear Ended	Mid-Block	no	14.23
8342	Parked Car	Mid-Block	no	16.0
8343	Rear Ended	Mid-Block	no	16.32
8344	Parked Car	Mid-Block	no	16.4
8345	Parked Car	Mid-Block	no	17.0
8346	Parked Car	Mid-Block	no	17.45
8347	Angles	At Intersection	no	17.77
8348	Angles	At Intersection	no	17.83
8349	Rear Ended	Mid-Block	yes	17.88
8350	Parked Car	Mid-Block	no	23.52
8351	Left Turn	At Intersection	no	6.98
8352	Cycles	At Intersection	no	9.23
8353	Sideswipe	Mid-Block	no	9.23
8354	Parked Car	Mid-Block	no	10.08
8355	Cycles	At Intersection	no	10.9
8356	Head On	Mid-Block	yes	11.38
8357	Rear Ended	Driveway Junction	no	11.5
8358	Rear Ended	Mid-Block	no	12.33
8359	Left Turn	At Intersection	no	12.83
8360	Rear Ended	Mid-Block	no	13.23
8361	Parked Car	Mid-Block	no	14.3
8362	Angles	At Intersection	no	14.67
8363	Left Turn	At Intersection	no	14.97
8364	Angles	At Intersection	no	15.45
8365	Rear Ended	Mid-Block	no	16.48
8366	Rear Ended	Mid-Block	no	16.53
8367	Parked Car	Mid-Block	no	17.07
8368	Sideswipe	Mid-Block	no	17.08
8369	Sideswipe	At Intersection	no	17.22
8370	Parked Car	Mid-Block	no	17.25
8371	Angles	At Intersection	no	17.63
8372	Rear Ended	Mid-Block	yes	18.02
8373	Rear Ended	Mid-Block	no	18.78
8374	Rear Ended	Mid-Block	yes	19.72
8375	Left Turn	At Intersection	no	20.43
8376	Parked Car	Mid-Block	no	21.48
8377	Parked Car	Mid-Block	no	22.33
8378	Sideswipe	Mid-Block	no	6.75
8379	Parked Car	Mid-Block	no	7.5
8380	Rear Ended	Mid-Block	yes	7.95
8381	Sideswipe	Mid-Block	no	9.62
8382	Left Turn	At Intersection	no	10.85
8383	Rear Ended	Mid-Block	yes	10.98
8384	Sideswipe	Mid-Block	no	11.25
8385	Sideswipe	Mid-Block	no	11.38
8386	Left Turn	At Intersection	no	12.0
8387	Left Turn	At Intersection	no	13.8
8388	Parked Car	Mid-Block	no	14.0
8389	Left Turn	At Intersection	no	14.43
8390	Left Turn	At Intersection	no	14.5
8391	Rear Ended	Mid-Block	yes	14.72
8392	Angles	At Intersection	no	15.12
8393	Angles	Mid-Block	no	15.45
8394	Angles	At Intersection	no	15.97
8395	Left Turn	At Intersection	no	16.12
8396	Angles	At Intersection	no	16.87
8397	Angles	At Intersection	no	16.9
8398	Angles	At Intersection	no	16.92
8399	Angles	At Intersection	no	16.92
8400	Angles	At Intersection	yes	17.37
8401	Sideswipe	Mid-Block	no	18.17
8402	Parked Car	Mid-Block	no	18.25
8403	Rear Ended	Mid-Block	no	19.08
8404	Head On	Mid-Block	no	19.38
8405	Sideswipe	At Intersection	no	20.18
8406	Angles	At Intersection	no	20.27
8407	Angles	At Intersection	no	20.28
8408	Parked Car	Mid-Block	no	20.67
8409	Parked Car	Mid-Block	no	21.0
8410	Angles	At Intersection	no	22.7
8411	Parked Car	Mid-Block	yes	23.0
8412	Pedestrian	At Intersection	no	2.52
8413	Parked Car	Mid-Block	no	2.62
8414	Left Turn	At Intersection	no	4.83
8415	Head On	Mid-Block	no	6.25
8416	Parked Car	Mid-Block	no	6.32
8417	Parked Car	Mid-Block	no	6.42
8418	Parked Car	Mid-Block	no	6.48
8419	Sideswipe	Mid-Block	no	6.67
8420	Left Turn	At Intersection	no	6.9
8421	Sideswipe	Mid-Block	no	6.98
8422	Parked Car	At Intersection	no	7.23
8423	Rear Ended	At Intersection	no	7.23
8424	Sideswipe	Mid-Block	no	7.28
8425	Rear Ended	Mid-Block	no	7.33
8426	Sideswipe	Mid-Block	no	7.73
8427	Sideswipe	Mid-Block	no	8.0
8428	Head On	Mid-Block	no	8.15
8429	Angles	At Intersection	no	8.83
8430	Angles	At Intersection	no	8.98
8431	Parked Car	Mid-Block	no	9.0
8432	Rear Ended	Mid-Block	no	9.15
8433	Pedestrian	At Intersection	no	10.12
8434	Angles	At Intersection	no	10.42
8435	Rear Ended	Mid-Block	yes	11.17
8436	Parked Car	Mid-Block	no	12.02
8437	Rear Ended	Mid-Block	yes	12.6
8438	Angles	At Intersection	no	14.25
8439	Sideswipe	At Intersection	yes	14.47
8440	Angles	At Intersection	no	14.77
8441	Parked Car	Mid-Block	no	16.62
8442	Right Turn	At Intersection	no	17.2
8443	Left Turn	At Intersection	no	18.53
8444	Parked Car	Mid-Block	no	19.05
8445	Pedestrian	At Intersection	no	21.83
8446	Angles	At Intersection	no	0.55
8447	Rear Ended	Mid-Block	no	1.5
8448	Parked Car	Mid-Block	no	2.2
8449	Rear Ended	Mid-Block	no	3.78
8450	Parked Car	At Intersection	no	4.85
8451	Rear Ended	Mid-Block	no	10.9
8452	Sideswipe	Mid-Block	no	10.97
8453	Angles	Driveway Junction	no	13.15
8454	Rear Ended	Mid-Block	no	13.55
8455	Angles	At Intersection	no	13.75
8456	Rear Ended	Mid-Block	yes	14.0
8457	Rear Ended	Mid-Block	no	14.37
8458	Left Turn	At Intersection	no	14.38
8459	Head On	At Intersection	no	14.5
8460	Angles	At Intersection	no	15.9
8461	Sideswipe	Mid-Block	no	16.0
8462	Left Turn	At Intersection	no	17.4
8463	Angles	At Intersection	no	17.53
8464	Angles	At Intersection	no	17.62
8465	Parked Car	Driveway Junction	yes	18.0
8466	Angles	At Intersection	no	18.33
8467	Parked Car	Mid-Block	no	18.5
8468	Parked Car	Mid-Block	no	19.17
8469	Parked Car	Mid-Block	no	20.38
8470	Parked Car	Mid-Block	no	20.5
8471	Sideswipe	Mid-Block	no	22.73
8472	Sideswipe	Mid-Block	no	22.75
8473	Parked Car	Mid-Block	no	22.92
8474	Angles	At Intersection	no	23.52
8475	Parked Car	Mid-Block	no	1.5
8476	Rear Ended	Mid-Block	no	2.33
8477	Parked Car	Mid-Block	no	3.35
8478	Sideswipe	Mid-Block	yes	13.4
8479	Parked Car	Mid-Block	no	15.0
8480	Left Turn	At Intersection	no	15.8
8481	Angles	At Intersection	no	15.83
8482	Angles	At Intersection	no	16.08
8483	Sideswipe	Mid-Block	no	16.15
8484	Rear Ended	Mid-Block	no	16.25
8485	Left Turn	At Intersection	no	16.3
8486	Sideswipe	Mid-Block	yes	16.63
8487	Rear Ended	Mid-Block	no	17.0
8488	Parked Car	Mid-Block	no	17.85
8489	Parked Car	At Intersection	no	18.07
8490	Angles	At Intersection	no	18.25
8491	Rear Ended	Mid-Block	yes	18.47
8492	Rear Ended	Mid-Block	no	18.58
8493	Pedestrian	At Intersection	no	19.43
8494	Parked Car	Mid-Block	no	20.47
8495	Angles	At Intersection	no	22.0
8496	Parked Car	At Intersection	no	22.5
8497	Angles	At Intersection	yes	22.97
8498	Angles	At Intersection	no	23.17
8499	Parked Car	Mid-Block	no	1.0
8500	Parked Car	Mid-Block	no	1.52
8501	Parked Car	Mid-Block	no	6.62
8502	Left Turn	At Intersection	no	7.62
8503	Angles	At Intersection	yes	8.13
8504	Rear Ended	Mid-Block	no	8.67
8505	Rear Ended	Mid-Block	no	8.95
8506	Parked Car	Mid-Block	yes	11.3
8507	Parked Car	Mid-Block	no	12.0
8508	Left Turn	At Intersection	no	12.25
8509	Left Turn	At Intersection	no	12.33
8510	Angles	At Intersection	no	13.23
8511	Sideswipe	Mid-Block	no	13.37
8512	Rear Ended	At Intersection	no	13.83
8513	Sideswipe	Mid-Block	no	14.8
8514	Left Turn	At Intersection	no	14.83
8515	Angles	At Intersection	no	14.98
8516	Parked Car	Mid-Block	no	15.0
8517	Rear Ended	Mid-Block	no	15.4
8518	Angles	At Intersection	no	15.62
8519	Cycles	Driveway Junction	no	16.42
8520	Rear Ended	Mid-Block	no	16.42
8521	Parked Car	Mid-Block	yes	16.58
8522	Parked Car	Mid-Block	no	16.97
8523	Angles	At Intersection	no	17.32
8524	Rear Ended	Mid-Block	no	17.5
8525	Parked Car	Mid-Block	no	17.83
8526	Pedestrian	At Intersection	no	18.18
8527	Rear Ended	Mid-Block	no	18.28
8528	Head On	Mid-Block	no	19.65
8529	Left Turn	Driveway Junction	no	21.07
