	type	location	distracted	time
45958	Rear Ended	Mid-Block	no	14.1
45959	Angles	Mid-Block	no	14.57
45960	Angles	At Intersection	no	15.03
45961	Left Turn	Mid-Block	no	15.28
45962	Sideswipe	Mid-Block	no	15.53
45963	Rear Ended	Mid-Block	no	15.58
45964	Angles	At Intersection	no	15.95
45965	Rear Ended	Mid-Block	no	16.37
45966	Rear Ended	Mid-Block	no	16.58
45967	Rear Ended	Mid-Block	no	17.15
45968	Rear Ended	Mid-Block	no	17.67
45969	Rear Ended	Mid-Block	yes	17.85
45970	Pedestrian	At Intersection	no	19.17
45971	Angles	At Intersection	no	20.15
45972	Cycles	At Intersection	no	20.2
45973	Parked Car	Mid-Block	no	22.5
45974	Cycles	At Intersection	no	0.07
45975	Angles	At Intersection	no	1.0
45976	Angles	At Intersection	no	6.33
45977	Sideswipe	Mid-Block	no	9.67
45978	Parked Car	Mid-Block	no	11.67
45979	Parked Car	Mid-Block	no	13.18
45980	Parked Car	Mid-Block	no	13.5
45981	Left Turn	Mid-Block	no	15.15
45982	Left Turn	At Intersection	no	15.75
45983	Pedestrian	At Intersection	no	16.03
45984	Left Turn	At Intersection	no	17.12
45985	Sideswipe	Mid-Block	no	20.22
45986	Parked Car	Mid-Block	no	2.27
45987	Parked Car	Mid-Block	no	2.67
45988	Cycles	At Intersection	no	8.45
45989	Parked Car	Mid-Block	no	10.0
45990	Rear Ended	Mid-Block	no	11.77
45991	Right Turn	Driveway Junction	no	12.0
45992	Parked Car	Mid-Block	no	13.03
45993	Angles	At Intersection	no	13.42
45994	Sideswipe	Mid-Block	no	14.5
45995	Angles	At Intersection	no	16.03
45996	Rear Ended	Mid-Block	yes	16.25
45997	Sideswipe	Mid-Block	no	16.58
45998	Rear Ended	Mid-Block	yes	16.82
45999	Angles	At Intersection	no	17.68
46000	Angles	At Intersection	no	17.7
46001	Rear Ended	Mid-Block	no	17.83
46002	Angles	Driveway Junction	no	18.12
46003	Rear Ended	Mid-Block	no	19.0
46004	Sideswipe	Mid-Block	no	20.88
46005	Angles	At Intersection	no	2.15
46006	Angles	At Intersection	no	7.17
46007	Parked Car	Mid-Block	no	8.0
46008	Rear Ended	Mid-Block	no	8.62
46009	Angles	At Intersection	no	11.18
46010	Angles	At Intersection	no	12.37
46011	Left Turn	At Intersection	no	13.35
46012	Pedestrian	Mid-Block	no	13.8
46013	Left Turn	Mid-Block	no	13.98
46014	Rear Ended	Mid-Block	no	14.17
46015	Parked Car	Mid-Block	no	14.43
46016	Cycles	At Intersection	no	15.73
46017	Angles	Driveway Junction	no	16.27
46018	Left Turn	At Intersection	no	16.5
46019	Left Turn	At Intersection	no	16.55
46020	Angles	At Intersection	no	16.57
46021	Angles	At Intersection	no	17.33
46022	Sideswipe	Mid-Block	yes	17.35
46023	Rear Ended	Mid-Block	no	17.38
46024	Angles	At Intersection	no	17.87
46025	Rear Ended	Mid-Block	no	18.02
46026	Parked Car	Mid-Block	no	18.45
46027	Sideswipe	Mid-Block	yes	19.47
46028	Parked Car	Mid-Block	no	19.72
46029	Angles	At Intersection	no	20.28
46030	Sideswipe	Mid-Block	no	23.05
46031	Angles	At Intersection	no	7.83
46032	Parked Car	Mid-Block	no	9.0
46033	Rear Ended	At Intersection	no	9.73
46034	Sideswipe	Mid-Block	no	10.13
46035	Parked Car	Mid-Block	no	11.03
46036	Parked Car	Driveway Junction	no	12.78
46037	Left Turn	Mid-Block	no	13.13
46038	Parked Car	Mid-Block	no	13.25
46039	Sideswipe	Mid-Block	no	15.57
46040	Angles	Driveway Junction	no	16.42
46041	Sideswipe	Mid-Block	no	16.5
46042	Left Turn	At Intersection	no	16.87
46043	Sideswipe	Mid-Block	no	17.15
46044	Angles	Driveway Junction	no	17.3
46045	Parked Car	Mid-Block	no	17.5
46046	Left Turn	At Intersection	no	17.63
46047	Left Turn	At Intersection	no	17.8
46048	Angles	At Intersection	no	17.85
46049	Angles	At Intersection	no	18.5
46050	Sideswipe	At Intersection	no	18.78
46051	Angles	At Intersection	no	18.82
46052	Rear Ended	Mid-Block	no	21.87
46053	Rear Ended	Mid-Block	no	21.93
46054	Parked Car	Mid-Block	no	2.05
46055	Left Turn	At Intersection	no	2.22
46056	Parked Car	Mid-Block	no	3.5
46057	Sideswipe	Mid-Block	no	3.67
46058	Rear Ended	Mid-Block	yes	10.67
46059	Parked Car	Driveway Junction	no	12.52
46060	Rear Ended	Mid-Block	no	12.8
46061	Rear Ended	Mid-Block	no	12.98
46062	Rear Ended	Mid-Block	yes	13.5
46063	Sideswipe	Mid-Block	no	14.75
46064	Angles	At Intersection	no	15.87
46065	Rear Ended	Mid-Block	no	17.55
46066	Cycles	Mid-Block	no	17.58
46067	Left Turn	Mid-Block	no	17.88
46068	Rear Ended	Mid-Block	no	19.25
46069	Parked Car	Mid-Block	no	19.55
46070	Parked Car	Mid-Block	no	20.57
46071	Sideswipe	Mid-Block	no	21.73
46072	Sideswipe	Mid-Block	no	22.87
46073	Parked Car	Mid-Block	no	1.67
46074	Sideswipe	Mid-Block	no	3.42
46075	Angles	At Intersection	no	8.32
46076	Parked Car	Mid-Block	no	9.07
46077	Angles	At Intersection	no	10.03
46078	Cycles	Mid-Block	no	10.13
46079	Parked Car	Mid-Block	no	11.48
46080	Left Turn	At Intersection	no	12.75
46081	Rear Ended	At Intersection	no	14.0
46082	Pedestrian	Mid-Block	no	14.08
46083	Parked Car	Mid-Block	no	15.5
46084	Angles	At Intersection	no	16.27
46085	Left Turn	At Intersection	no	17.0
46086	Sideswipe	Mid-Block	no	17.38
46087	Rear Ended	Mid-Block	no	17.9
46088	Angles	At Intersection	no	19.9
46089	Rear Ended	Mid-Block	no	20.03
46090	Parked Car	Mid-Block	no	21.92
46091	Sideswipe	Mid-Block	no	22.85
